Name,Funding Round,First Funding Date,Raised Amount,Valuation Amount,Investors
Clique,Series A,14 Mar 2024,$ 8.00M,N/A,"Polychain Capital, Balaji Srinivasan, Sandeep Nailwal, Robot Ventures"
Bitrealms,,,,N/A,
Polyhedra-Network,Undisclosed,14 Mar 2024,$ 20.00M,$ 1B,"Polychain Capital, HashKey Capital, Animoca Brands, LongHash Ventures"
Edu-3-Labs,,,,N/A,
Orangedx,Undisclosed,13 Mar 2024,$ 1.50M,N/A,"GBV Capital, x21 Digital, Oddiyana Ventures, NxGen"
Uxlink,Undisclosed,13 Mar 2024,$ 9.00M,N/A,"OKX Ventures, KuCoin Ventures, Gate Labs, UOB Venture"
Demr,Angel,13 Mar 2024,N/A,N/A,"KuCoin Labs, DWF Labs, PAKA, Redline DAO"
Fjord-Foundry,Seed,13 Mar 2024,$ 4.30M,N/A,"Lemniscap, Mechanism Capital, Zee Prime Capital, Castle Capital"
Munchables,Pre-Seed,13 Mar 2024,N/A,N/A,"Mechanism Capital, Manifold, Selini Capital, Duplicate Capital"
Cleartoken,Seed,13 Mar 2024,$ 10.00M,N/A,"GSR, Flow Traders, Laser Digital, Zodia Custody"
Ivendpay,Undisclosed,12 Mar 2024,N/A,N/A,
Asterix-Labs,Strategic,20 Mar 2024,N/A,N/A,"Hashed Fund, Everest Ventures, Momentum 6, Arcane Group"
Ethernity-Chain,Undisclosed,12 Mar 2024,N/A,N/A,
